region,Abbrev,OKATO_id,FD
Республика Адыгея (Адыгея),AD,79000000000,ЮФО
Алтайский край,AL,01000000000,СФО
Амурская область,AM,10000000000,ДФО
Архангельская область,AR,11000000000,СЗФО
Астраханская область,AS,12000000000,ЮФО
Белгородская область,BE,14000000000,ЦФО
Брянская область,BR,15000000000,ЦФО
Республика Башкортостан,BS,80000000000,ПФО
Республика Бурятия,BU,81000000000,ДФО
Чеченская Республика,CC,96000000000,СКФО
Челябинская область,CL,75000000000,УФО
Чувашская Республика - Чувашия,CV,97000000000,ПФО
Республика Дагестан,DA,82000000000,СКФО
Еврейская автономная область,EV,99000000000,ДФО
Хабаровский край,HK,08000000000,ДФО
Республика Ингушетия,IN,26000000000,СКФО
Иркутская область,IR,25000000000,СФО
Ивановская область,IV,24000000000,ЦФО
Калининградская область,KA,27000000000,СЗФО
Кабардино-Балкарская Республика,KB,83000000000,СКФО
Карачаево-Черкесская Республика,KC,91000000000,СКФО
Калужская область,KG,29000000000,ЦФО
Республика Хакасия,KH,95000000000,СФО
Кировская область,KI,33000000000,ПФО
Республика Калмыкия,KL,85000000000,ЮФО
Республика Коми,KM,87000000000,СЗФО
Костромская область,KO,34000000000,ЦФО
Краснодарский край,KR,03000000000,ЮФО
Курская область,KS,38000000000,ЦФО
Камчатский край,KT,30000000000,ДФО
Курганская область,KU,37000000000,УФО
Красноярский край,KY,04000000000,СФО
Кемеровская область - Кузбасс,KZ,32000000000,СФО
Липецкая область,LI,42000000000,ЦФО
Ленинградская область,LO,41000000000,СЗФО
Республика Мордовия,MD,89000000000,ПФО
Республика Марий Эл,ME,88000000000,ПФО
Магаданская область,MG,44000000000,ДФО
Московская область,MO,46000000000,ЦФО
Мурманская область,MU,47000000000,СЗФО
Город Москва столица Российской Федерации город федерального значения,MW,45000000000,ЦФО
Новгородская область,NO,49000000000,СЗФО
Новосибирская область,NV,50000000000,СФО
Нижегородская область,NZ,22000000000,ПФО
Оренбургская область,OB,53000000000,ПФО
Омская область,OM,52000000000,СФО
Орловская область,OR,54000000000,ЦФО
Пермский край,PE,57000000000,ПФО
Приморский край,PR,05000000000,ДФО
Псковская область,PS,58000000000,СЗФО
Пензенская область,PZ,56000000000,ПФО
Республика Алтай,RA,84000000000,СФО
Республика Карелия,RK,86000000000,СЗФО
Ростовская область,RO,60000000000,ЮФО
Рязанская область,RZ,61000000000,ЦФО
Самарская область,SA,36000000000,ПФО
Сахалинская область,SH,64000000000,ДФО
Смоленская область,SM,66000000000,ЦФО
Республика Северная Осетия-Алания,SO,90000000000,СКФО
Город Санкт-Петербург город федерального значения,SP,40000000000,СЗФО
Саратовская область,SR,63000000000,ПФО
Ставропольский край,ST,07000000000,СКФО
Свердловская область,SV,65000000000,УФО
Тамбовская область,TB,68000000000,ЦФО
Тюменская область,TM,71000000000,УФО
Томская область,TO,69000000000,СФО
Республика Татарстан (Татарстан),TT,92000000000,ПФО
Тульская область,TU,70000000000,ЦФО
Тверская область,TV,28000000000,ЦФО
Республика Тыва,TY,93000000000,СФО
Удмуртская Республика,UD,94000000000,ПФО
Ульяновская область,UL,73000000000,ПФО
Вологодская область,VG,19000000000,СЗФО
Владимирская область,VL,17000000000,ЦФО
Волгоградская область,VO,18000000000,ЮФО
Воронежская область,VR,20000000000,ЦФО
Республика Саха (Якутия),YA,98000000000,ДФО
Ярославская область,YR,78000000000,ЦФО
Забайкальский край,ZA,76000000000,ДФО
